id;x_test;y_test;y_pred;explanations;meaningfulness;acceptability;faithfulness;explanation_accuracy_scores;explanation_accuracy_decisions;okd;similarity_threshold;adherence_to_knowledge_limits
199;Container nodes should write attributes to ZooKeeper The /xd/containers node is the parent where each Container will write an ephemeral child node. The node name should be the Container's ID and the node data should be the Container's attributes (host pid and much more to be added later). When a Container shuts down cleanly it should eagerly delete the ephemeral node so that watchers are notified immediately. For any other case (including a network partition) the ephemeral node will disappear after the timeout elapses.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts.  XUSP could not provide an answer as the amount of similarity between the given text Container nodes should write attributes to zookeeper the /xd/containers node is the parent where each container will write an ephemeral child node the node name should be the container's id and the node data should be the container's attributes (host pid and much more to be added later) when a container shuts down cleanly it should eagerly delete the ephemeral node so that watchers are notified immediately for any other case (including a network partition) the ephemeral node will disappear after the timeout elapses and the most similar text Logging listener container narrow error see however was set error last year reduce log noise prefer elevate least warn address noise issue spring does not exceed the minimum threshold of 75%.;0.01;2.0;1.0;1.67;0;1;0;0
200;Final review of REST API structure document for streams taps and jobs Get closure on open discussion points for REST API wrt to streams taps and jobs.;0;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Final review of rest api structure document for streams taps and jobs get closure on open discussion points for rest api wrt to streams taps and jobs is a user story, and is worth 8 story points. This was predicted because it is most similar to the text Developer id like publish performance benchmarks along infrastructure specifics users use reference setting spring cluster and similar to the text Developer id like setup performance testing infrastructure start benching kafka baselines continue and similar to the text Developer id like migrate module deployment repository abstraction used definitions create spi (and these texts are all user stories with a worth of 8 story points).;0.04;8.62;1.0;8.33;1;0;1;0
201;Using custom classes for module properties leads to ClassNotFoundException Attached is module properties file. Both custom Java classes referenced in the properties are available in the JAR file under _SPRING_XD_HOME/xd/module/<the-module>/lib_ directory. Following exception is thrown: {code}6:26:03064 1.0.2.RELEASE ERROR http-nio-9393-exec-4 rest.RestControllerAdvice - Caught exception while handling a request java.lang.IllegalStateException: Can't find class used for type of option 'binding': com.emc.it.ds.rtd.springxd.binding.BindingStrategy org.springframework.xd.module.options.DefaultModuleOptionsMetadataResolver.makeSimpleModuleOptions(DefaultModuleOptionsMetadataResolver.java:137) org.springframework.xd.module.options.DefaultModuleOptionsMetadataResolver.resolveNormalMetadata(DefaultModuleOptionsMetadataResolver.java:193) org.springframework.xd.module.options.DefaultModuleOptionsMetadataResolver.resolve(DefaultModuleOptionsMetadataResolver.java:154) org.springframework.xd.module.options.DelegatingModuleOptionsMetadataResolver.resolve(DelegatingModuleOptionsMetadataResolver.java:44) org.springframework.xd.module.options.EnvironmentAwareModuleOptionsMetadataResolver.resolve(EnvironmentAwareModuleOptionsMetadataResolver.java:127) org.springframework.xd.dirt.stream.XDStreamParser.parse(XDStreamParser.java:173) org.springframework.xd.dirt.stream.AbstractDeployer.save(AbstractDeployer.java:95) org.springframework.xd.dirt.rest.XDController.save(XDController.java:223) sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57) sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) java.lang.reflect.Method.invoke(Method.java:606) org.springframework.web.method.support.InvocableHandlerMethod.invoke(InvocableHandlerMethod.java:215) org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:132) org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:104) org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandleMethod(RequestMappingHandlerAdapter.java:749) org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:689) org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:83) org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:938) org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:870) org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:961) org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:863) javax.servlet.http.HttpServlet.service(HttpServlet.java:646) org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:837) javax.servlet.http.HttpServlet.service(HttpServlet.java:727) org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:303) org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208) org.springframework.boot.actuate.trace.WebRequestTraceFilter.doFilterInternal(WebRequestTraceFilter.java:110) org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241) org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208) org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration$ApplicationContextHeaderFilter.doFilterInternal(EndpointWebMvcAutoConfiguration.java:280) org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241) org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208) org.springframework.security.web.FilterChainProxy.doFilterInternal(FilterChainProxy.java:186) org.springframework.security.web.FilterChainProxy.doFilter(FilterChainProxy.java:160) org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241) org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208) org.springframework.web.filter.HiddenHttpMethodFilter.doFilterInternal(HiddenHttpMethodFilter.java:77) org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241) org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208) org.springframework.web.filter.HttpPutFormContentFilter.doFilterInternal(HttpPutFormContentFilter.java:88) org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241) org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208) org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration$MetricsFilter.doFilterInternal(MetricFilterAutoConfiguration.java:89) org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241) org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208) org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:220) org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:122) org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:501) org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:171) org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:103) org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:116) org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:408) org.apache.coyote.http11.AbstractHttp11Processor.process(AbstractHttp11Processor.java:1070) org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:611) org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1736) org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.run(NioEndpoint.java:1695) java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145) java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615) org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61) java.lang.Thread.run(Thread.java:745){code} Please see attached patch file this seems to be enough to resolve the problem.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts.  XUSP could not provide an answer as the amount of similarity between the given text Using custom classes for module properties leads to classnotfoundexception attached is module properties file both custom java classes referenced in the properties are available in the jar file under _spring_xd_home/xd/module/<the-module>/lib_ directory following exception is thrown: {code}6:26:03064 102release error http-nio-9393-exec-4 restrestcontrolleradvice - caught exception while handling a request javalangillegalstateexception: can't find class used for type of option 'binding': comemcitdsrtdspringxdbindingbindingstrategy orgspringframeworkxdmoduleoptionsdefaultmoduleoptionsmetadataresolvermakesimplemoduleoptions(defaultmoduleoptionsmetadataresolverjava:137) orgspringframeworkxdmoduleoptionsdefaultmoduleoptionsmetadataresolverresolvenormalmetadata(defaultmoduleoptionsmetadataresolverjava:193) orgspringframeworkxdmoduleoptionsdefaultmoduleoptionsmetadataresolverresolve(defaultmoduleoptionsmetadataresolverjava:154) orgspringframeworkxdmoduleoptionsdelegatingmoduleoptionsmetadataresolverresolve(delegatingmoduleoptionsmetadataresolverjava:44) orgspringframeworkxdmoduleoptionsenvironmentawaremoduleoptionsmetadataresolverresolve(environmentawaremoduleoptionsmetadataresolverjava:127) orgspringframeworkxddirtstreamxdstreamparserparse(xdstreamparserjava:173) orgspringframeworkxddirtstreamabstractdeployersave(abstractdeployerjava:95) orgspringframeworkxddirtrestxdcontrollersave(xdcontrollerjava:223) sunreflectnativemethodaccessorimplinvoke0(native method) sunreflectnativemethodaccessorimplinvoke(nativemethodaccessorimpljava:57) sunreflectdelegatingmethodaccessorimplinvoke(delegatingmethodaccessorimpljava:43) javalangreflectmethodinvoke(methodjava:606) orgspringframeworkwebmethodsupportinvocablehandlermethodinvoke(invocablehandlermethodjava:215) orgspringframeworkwebmethodsupportinvocablehandlermethodinvokeforrequest(invocablehandlermethodjava:132) orgspringframeworkwebservletmvcmethodannotationservletinvocablehandlermethodinvokeandhandle(servletinvocablehandlermethodjava:104) orgspringframeworkwebservletmvcmethodannotationrequestmappinghandleradapterinvokehandlemethod(requestmappinghandleradapterjava:749) orgspringframeworkwebservletmvcmethodannotationrequestmappinghandleradapterhandleinternal(requestmappinghandleradapterjava:689) orgspringframeworkwebservletmvcmethodabstracthandlermethodadapterhandle(abstracthandlermethodadapterjava:83) orgspringframeworkwebservletdispatcherservletdodispatch(dispatcherservletjava:938) orgspringframeworkwebservletdispatcherservletdoservice(dispatcherservletjava:870) orgspringframeworkwebservletframeworkservletprocessrequest(frameworkservletjava:961) orgspringframeworkwebservletframeworkservletdopost(frameworkservletjava:863) javaxservlethttphttpservletservice(httpservletjava:646) orgspringframeworkwebservletframeworkservletservice(frameworkservletjava:837) javaxservlethttphttpservletservice(httpservletjava:727) orgapachecatalinacoreapplicationfilterchaininternaldofilter(applicationfilterchainjava:303) orgapachecatalinacoreapplicationfilterchaindofilter(applicationfilterchainjava:208) orgspringframeworkbootactuatetracewebrequesttracefilterdofilterinternal(webrequesttracefilterjava:110) orgspringframeworkwebfilteronceperrequestfilterdofilter(onceperrequestfilterjava:107) orgapachecatalinacoreapplicationfilterchaininternaldofilter(applicationfilterchainjava:241) orgapachecatalinacoreapplicationfilterchaindofilter(applicationfilterchainjava:208) orgspringframeworkbootactuateautoconfigureendpointwebmvcautoconfiguration$applicationcontextheaderfilterdofilterinternal(endpointwebmvcautoconfigurationjava:280) orgspringframeworkwebfilteronceperrequestfilterdofilter(onceperrequestfilterjava:107) orgapachecatalinacoreapplicationfilterchaininternaldofilter(applicationfilterchainjava:241) orgapachecatalinacoreapplicationfilterchaindofilter(applicationfilterchainjava:208) orgspringframeworksecuritywebfilterchainproxydofilterinternal(filterchainproxyjava:186) orgspringframeworksecuritywebfilterchainproxydofilter(filterchainproxyjava:160) orgapachecatalinacoreapplicationfilterchaininternaldofilter(applicationfilterchainjava:241) orgapachecatalinacoreapplicationfilterchaindofilter(applicationfilterchainjava:208) orgspringframeworkwebfilterhiddenhttpmethodfilterdofilterinternal(hiddenhttpmethodfilterjava:77) orgspringframeworkwebfilteronceperrequestfilterdofilter(onceperrequestfilterjava:107) orgapachecatalinacoreapplicationfilterchaininternaldofilter(applicationfilterchainjava:241) orgapachecatalinacoreapplicationfilterchaindofilter(applicationfilterchainjava:208) orgspringframeworkwebfilterhttpputformcontentfilterdofilterinternal(httpputformcontentfilterjava:88) orgspringframeworkwebfilteronceperrequestfilterdofilter(onceperrequestfilterjava:107) orgapachecatalinacoreapplicationfilterchaininternaldofilter(applicationfilterchainjava:241) orgapachecatalinacoreapplicationfilterchaindofilter(applicationfilterchainjava:208) orgspringframeworkbootactuateautoconfiguremetricfilterautoconfiguration$metricsfilterdofilterinternal(metricfilterautoconfigurationjava:89) orgspringframeworkwebfilteronceperrequestfilterdofilter(onceperrequestfilterjava:107) orgapachecatalinacoreapplicationfilterchaininternaldofilter(applicationfilterchainjava:241) orgapachecatalinacoreapplicationfilterchaindofilter(applicationfilterchainjava:208) orgapachecatalinacorestandardwrappervalveinvoke(standardwrappervalvejava:220) orgapachecatalinacorestandardcontextvalveinvoke(standardcontextvalvejava:122) orgapachecatalinaauthenticatorauthenticatorbaseinvoke(authenticatorbasejava:501) orgapachecatalinacorestandardhostvalveinvoke(standardhostvalvejava:171) orgapachecatalinavalveserrorreportvalveinvoke(errorreportvalvejava:103) orgapachecatalinacorestandardenginevalveinvoke(standardenginevalvejava:116) orgapachecatalinaconnectorcoyoteadapterservice(coyoteadapterjava:408) orgapachecoyotehttp11abstracthttp11processorprocess(abstracthttp11processorjava:1070) orgapachecoyoteabstractprotocol$abstractconnectionhandlerprocess(abstractprotocoljava:611) orgapachetomcatutilnetnioendpoint$socketprocessordorun(nioendpointjava:1736) orgapachetomcatutilnetnioendpoint$socketprocessorrun(nioendpointjava:1695) javautilconcurrentthreadpoolexecutorrunworker(threadpoolexecutorjava:1145) javautilconcurrentthreadpoolexecutor$workerrun(threadpoolexecutorjava:615) orgapachetomcatutilthreadstaskthread$wrappingrunnablerun(taskthreadjava:61) javalangthreadrun(threadjava:745){code} please see attached patch file this seems to be enough to resolve the problem and the most similar text Cant build run app building running app fails trying create first stream configuration ends instead java version se environment build java server vm build mixed mode error code error exception handling request null method warn handler execution resulted exception null code does not exceed the minimum threshold of 75%.;0.01;8.62;1.0;8.33;1;1;0;0
202;Tap Fixture refactoring The Tap fixture does not need to inherit from AbstractModuleFixture Replace moduleName method with moduleToTap. The current tap syntax is: tap:stream:<streamname>.<modulelabel> and not tap:stream:<streamname>.<modulelabel>.<modulename> as currently implemented by the label fixture.;0;4;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Tap fixture refactoring the tap fixture does not need to inherit from abstractmodulefixture replace modulename method with moduletotap the current tap syntax is: tap:stream:<streamname><modulelabel> and not tap:stream:<streamname><modulelabel><modulename> as currently implemented by the label fixture is a user story, and is worth 5 story points. This was predicted because it is most similar to the text Developer id like update installed spring cluster multiple instances servers setup ha and similar to the text User need sandbox docker image get started experiment deployment following setup os full jar java and similar to the text Developer id like decouple execution context job launch avoid cl serialization errors fix needs formally applied spring batch upgrade batch release order inherit functionality hence current workaround needs (and these texts are all user stories with a worth of 5 story points).;0.02;2.0;1.0;1.67;0;0;1;0
203;Create ReactorMessageHandler for Reactor based XD processor/sink modules The module should be flexible to act as a sink as well as a processor. ErrorHandling will be considered as part of another JIRA;0;2;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Create reactormessagehandler for reactor based xd processor/sink modules the module should be flexible to act as a sink as well as a processor errorhandling will be considered as part of another jira is a user story, and is worth 2 story points. This was predicted because it is most similar to the text Developer id like able clean rabbit binder broker artifacts using rest api rabbit was ported cleaner was ported rest api invoke was ported and similar to the text User id like migrate 10 11 able port custom modules operationalize existing data pipelines also take advantage latest features and similar to the text Scd developer id like make deployer work use shell return quickly also queue deploy operations within yarn tasks (and these texts are all user stories with a worth of 2 story points).;0.03;2.06;1.0;1.67;0;0;1;0
204;As a developer I'd like to refactor stream/job definition repository so I can decouple from module deployment concerns.;5;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a developer i'd like to refactor stream/job definition repository so i can decouple from module deployment concerns is a user story, and is worth 8 story points. This was predicted because it is most similar to the text Developer id like upgrade kafka leverage latest features order test performance characteristics and similar to the text Developer id like benchmark rabbit performance use results reference setup cluster and similar to the text User id like option setup batching ingest data batches opposed (and these texts are all user stories with a worth of 8 story points).;0.02;3.87;1.0;1.67;0;1;1;1
205;Create shell command for getting information on the progress of a given step execution;0;4;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Create shell command for getting information on the progress of a given step execution is a user story, and is worth 5 story points. This was predicted because it is most similar to the text Developer want abstraction support multiple binder types future and similar to the text Developer id like revisit existing design identify known limitations gaps and similar to the text Developer id like upgrade reactor 20 release synchronize stable dependencies (and these texts are all user stories with a worth of 5 story points).;0.03;8.55;1.0;8.33;1;0;1;0
206;Detect Invalid Deployment Properties in the Bus Detect properties the bus doesn't support.;0;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Detect invalid deployment properties in the bus detect properties the bus doesn't support is a user story, and is worth 8 story points. This was predicted because it is most similar to the text User id like flexible module processor and similar to the text Developer id like build batch sample using demonstrate capabilities use cases consider jdbc hdfs hdfs jdbc and similar to the text User id like option disable db requirement setup use dirt stream processing requirement (and these texts are all user stories with a worth of 8 story points).;0.05;8.62;1.0;8.33;1;0;1;0
207;As a user I want to be able to control the partition allocation for the Kafka source modules when a stream is deployed so that I can colocate with other data sources.;5;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a user i want to be able to control the partition allocation for the kafka source modules when a stream is deployed so that i can colocate with other data sources is a user story, and is worth 8 story points. This was predicted because it is most similar to the text User id like define security definitions configure entity rest api specific access policies and similar to the text Developer id like migrate current master branch ci builds instances manage reliably and similar to the text Developer id like fix offset management kafka source module efficiently perform fetch operation given offsets (and these texts are all user stories with a worth of 8 story points).;0.04;8.4;1.0;8.33;1;1;1;1
208;Update Spring Framework to 4.2.4;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Update spring framework to 424 was most similar to the text Update spring platform 101 and similar to the text Test and similar to the text Retrieve information counter (and these texts are not user stories).;0.03;2.24;0.0;1.67;0;1;1;1
209;Do not eagerly use repositories in completion's *Strategy;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Do not eagerly use repositories in completion's *strategy was most similar to the text Ssl connections ignored and similar to the text Features bug fixes named channels and similar to the text Ssl support modules (and these texts are not user stories).;0.02;8.62;1.0;8.33;1;1;1;1
210;Add authentication support to the mongo sink;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Add authentication support to the mongo sink was most similar to the text Ssl connections ignored and similar to the text Features bug fixes named channels and similar to the text Ssl support modules (and these texts are not user stories).;0.02;8.62;1.0;8.33;1;1;1;1
211;Provide support for XD Runtime on Vagrant;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Provide support for xd runtime on vagrant was most similar to the text Ssl connections ignored and similar to the text Features bug fixes named channels and similar to the text Ssl support modules (and these texts are not user stories).;0.02;8.62;1.0;8.33;1;1;1;1
212;Make Enum Conversions for ModuleOptions more lenient If you have a an option *--mode=textLine* presently the enum MUST be named *textLine*. I think it would improve the user-experience if we allowed users to pass in values such as: * --mode=textLine * --mode=text_line * --mode=TEXT_LINE;0;4;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Make enum conversions for moduleoptions more lenient if you have a an option *--mode=textline* presently the enum must be named *textline* i think it would improve the user-experience if we allowed users to pass in values such as: * --mode=textline * --mode=text_line * --mode=text_line is a user story, and is worth 5 story points. This was predicted because it is most similar to the text Scs developer id like investigate right approach port phd provider support hdfs module decide better handling hdfs dependencies needs loaded available root cp and similar to the text Spring user want ability customize encoders decoders used kafka source sink customize data formats choose appropriate strategy and similar to the text User need use module support merge command currently method forces requirement connect password options valid merge option check module type force options assigned arg list preferred (and these texts are all user stories with a worth of 5 story points).;0.01;6.15;1.0;8.33;1;0;1;0
213;As a developer I'd like to move 'serialization codec' from Spring XD repo into spring-bus so I can update Spring XD to inherit the features/functionalities via maven dependency.;5;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text As a developer i'd like to move 'serialization codec' from spring xd repo into spring-bus so i can update spring xd to inherit the features/functionalities via maven dependency was most similar to the text Move ephemeral nodes clear separation definition vs information move ephemeral nodes written containers jobs and similar to the text Home wiki page improvements add structure easily find reference guide style nice and similar to the text Response code http source use case need http source module return instead 200 currently returned may codes useful able return simple additional option module allow configured (and these texts are not user stories).;0.08;7.7;1.0;8.33;1;1;1;1
214;XD AdminMain & ContainerMain should check xd.home property from scripts Currently the system property xd.home is set as JVM_OPTS (via SPRING_XD_ADMIN_OPTS) into xd-admin & xd-container scripts. Inside the ContainerMain & AdminMain we need to check if this system property is set and use it. It seems like this check is missing now.;0;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Xd adminmain & containermain should check xdhome property from scripts currently the system property xdhome is set as jvm_opts (via spring_xd_admin_opts) into xd-admin & xd-container scripts inside the containermain & adminmain we need to check if this system property is set and use it it seems like this check is missing now is a user story, and is worth 8 story points. This was predicted because it is most similar to the text Developer id like central place manage external properties applications across environments provide server support externalized configuration servers and similar to the text Follow experiment removal list modules needed branch and similar to the text Spring user id like use based receptor implementation admin spi based run data pipeline running cf (and these texts are all user stories with a worth of 8 story points).;0.02;6.52;1.0;8.33;1;0;1;0
215;Investigate how to provide a means to share bean defintions across module instances In some cases it maybe useful to share a specific bean instance contributed by a user across multiple module instances. This story is a placeholder to collect requirements and discuss.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Investigate how to provide a means to share bean defintions across module instances in some cases it maybe useful to share a specific bean instance contributed by a user across multiple module instances this story is a placeholder to collect requirements and discuss was most similar to the text Additional rest endpoint working security see following error admin ui get forbidden and similar to the text Build script creates executable server artifact application good starting point main server host si based modules ingestion example and similar to the text Decouple make dl public class handle deployment related events remove dl eventually use (and these texts are not user stories).;0.13;3.01;1.0;1.67;0;1;1;1
216;As a developer I'd like to bench test cases around {{TupleBuilder}} so I can identify the bottlenecks and tune for performance optimizations.;5;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a developer i'd like to bench test cases around {{tuplebuilder}} so i can identify the bottlenecks and tune for performance optimizations is a user story, and is worth 8 story points. This was predicted because it is most similar to the text User id like option write file roll sink store events local file system and similar to the text Field engineer id like comparison storm examples spring easy relate implementation standpoint and similar to the text Pm id like smart grid demo ported spring samples (and these texts are all user stories with a worth of 8 story points).;0.02;6.15;1.0;8.33;1;1;1;1
217;Update jdbchdfs properties and defaults to better match hdfs sink We should use fileName fileExtension properties and default to /xd/jobname as directory;0;3;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Update jdbchdfs properties and defaults to better match hdfs sink we should use filename fileextension properties and default to /xd/jobname as directory is a user story, and is worth 3 story points. This was predicted because it is most similar to the text User id like build stream definitions using syntax resolving properties tuple json and similar to the text Pm id like rpm scripts single public users go single location use respective build scripts and similar to the text Cf user id like ability override yarn location change custom module stored (and these texts are all user stories with a worth of 3 story points).;0.02;8.62;1.0;8.33;1;0;1;0
218;As a pre-requisite for XD-2835 and a continuation of XD-2671 split apart the concepts of repository and deployment. This will affect the {{ResourceDeployer}} interface and the classes that implement it.;5;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text As a pre-requisite for xd-2835 and a continuation of xd-2671 split apart the concepts of repository and deployment this will affect the {{resourcedeployer}} interface and the classes that implement it was most similar to the text Parameterize source add support tcp source currently hard-coded use udp port need parameterize port provide option use tcp and similar to the text User able specify deploy properties jobs clicking deploy job definitions page user able specify deployment manifest module count module etc and similar to the text Change metrics assertions integration tests use smart similar has done eg metrics related sinks use smart timings (and these texts are not user stories).;0.04;8.06;1.0;8.33;1;1;1;1
219;As a developer I'd like to have a maintenance branch so that I can commit MINOR release _(ex: 1.0.2)_ code changes instead of committing to MASTER.;4;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a developer i'd like to have a maintenance branch so that i can commit minor release _(ex: 102)_ code changes instead of committing to master is a user story, and is worth 8 story points. This was predicted because it is most similar to the text Field engineer id like comparison spark streaming examples spring easy relate implementation standpoint and similar to the text Scd developer id like cc spi deployer cf improve overall design performance and similar to the text User able leverage native sink aggregate search analyze data insights (and these texts are all user stories with a worth of 8 story points).;0.02;4.48;1.0;7.9;1;1;1;1
